,E.name,E.countries,total
82,WISECOURT HOLDINGS INC.,Switzerland,2
83,RODRIC MARKETING INC.,Switzerland,2
84,PARFITT ASSET MANAGEMENT S.A.,Switzerland,1
85,OBIJASI MARKETING LTD.,Switzerland,1
86,ARTBOX LTD.,Luxembourg,4
87,SPERLING INVESTMENTS INC.,Switzerland,1
88,NEELSTOCK COMPANY INC.,Monaco,1
89,ORYGON LTD.,Luxembourg,2
90,SUNTARK MARKETING LTD.,Switzerland,1
91,RESS STAR TEAM INC.,Luxembourg,2
92,WIDNER HILL LTD.,Uruguay,1
93,CABARLY ASSETS CORP.,Jordan,1
94,RUMFORD INTERNATIONAL LIMITED,Jordan,1
95,HUMBOLDT GROUP LIMITED,Luxembourg,2
96,OPALGREEN INTERNATIONAL LIMITED,Switzerland,1
97,REVEREND ENTERPRISES LIMITED,Switzerland,3
98,ALTIS CAPITAL LTD.,Lebanon,4
99,MASTERVILLE INVESTMENTS S.A.,Switzerland,1
100,KALDOR BUSINESS LIMITED,Switzerland,1
101,MAYSTONE LIMITED,Jersey,2
102,BITSY INTERNATIONAL LIMITED,Switzerland,1
103,LEYEL CORP.,Switzerland,1
104,HOSTON INVESTMENT HOLDINGS LTD.,Hong Kong,2
105,SHARP ROCK TECHNOLOGIES LTD.,Hong Kong,3
106,COURTVALE LIMITED,Jersey,1
107,KILGAHRD GROUP S.A.,Switzerland,1
108,BURKET ASSOCIATES LTD.,Switzerland,1
109,RUBELL ASSETS MANAGEMENT LTD.,Switzerland,1
110,SHARONLANE INVESTMENTS LTD.,Bahamas,1
111,UNIGEAR LIMITED,Hong Kong,1
112,HALLINGTON DEVELOPMENT LTD.,Venezuela,1
113,PATENDALE TRADING LIMITED,Switzerland,1
114,BISWAY ENTERPRISES LIMITED,Hong Kong,2
115,RED OAK PROPERTIES LIMITED,Switzerland,1
116,FAMA OIL LIMITED,Switzerland,2
117,ACTIVE PROPERTIES INC.,Uruguay,4
118,BRIGHT SERVICES CORPORATION,Russia,2
119,HIGH FINANCIAL SERVICES LTD.,Monaco,2
120,TCA ADVISORS LTD.,Panama,2
121,CINTEX OVERSEAS LTD.,Switzerland,2
122,ARROWHEAD HOLDINGS INC.,Switzerland,1
123,CRESCENT VENTURE PARTNERS INC.,Switzerland,1
124,MELAKA ENTERPRISE LIMITED,Hong Kong,1
125,GLINBAY FINANCE LIMITED,Switzerland,1
126,ESCOM LIMITED,Venezuela,2
127,ASPEN PACIFIC LTD.,Switzerland,1
128,MIKELLI INVESTMENTS LIMITED,South Africa,1
129,Chimichanga Corp.,Liechtenstein,2
130,MR. SANDMAN II LIMITED,Switzerland,1
131,ENACT TRADING INC.,Switzerland,2
132,OPTALEN ASSOCIATES INC.,Switzerland,1
133,ELDERON INVESTMENT S.A.,Switzerland,2
134,VILMORE ASSET MANAGEMENT CORP.,Switzerland,1
135,ASSORTED PACKAGING LIMITED,Isle of Man,2
136,TECHBORN INTERNATIONAL LTD.,Hong Kong,1
137,CPT INVESTMENTS LTD.,Switzerland,1
138,ATEX INVESTMENTS LIMITED,Switzerland,1
139,LONEY TRADING LTD.,Samoa,2
140,NEW CENTURY BOLD CORP.,Switzerland,1
141,GOALINVEST LTD.,Switzerland,1
142,BELCOMTEC S.A.,Switzerland,1
143,SKY LOYAL GROUP LIMITED,Hong Kong,2
144,WESTWING RESOURCES LTD,Switzerland,2
145,LAVERY TRADING LIMITED,Switzerland,1
146,GIANT GOLD HOLDINGS LIMITED,Hong Kong,1
147,WILSON STRATEGIC HOLDINGS LIMITED,Hong Kong,1
148,MDC CAPITAL LIMITED,Denmark,1
149,MANO PORTFOLIO S.A.,Luxembourg,2
150,ALESTAN LIMITED,Switzerland,2
151,WHITEBURY SHIPPING LTD.,Switzerland,14
152,YUKRESS HOLDINGS LIMITED,Switzerland,1
153,BRIGHT YOUNG HOLDINGS LIMITED,Hong Kong,1
154,DARVEN CONSULTING LTD.,Panama,4
155,RISPETTA INTERNATIONAL INC.,Guernsey,2
156,CORFINA HOLDING LIMITED,Switzerland,1
157,CORLUCK INTERNATIONAL ENTERPRISES LTD.,Hong Kong,1
158,PAVILION DEVELOPMENT LTD.,United States,5
159,ABELSON ENTERPRISES LIMITED,Switzerland,1
160,XIMONT FINANCE LTD.,Switzerland,1
161,OMATE MANAGEMENT S.A.,Switzerland,2
162,QUAD INTERNATIONAL HOLDINGS INC.,Switzerland,1
163,ALDEROSE LIMITED,United Kingdom,1
164,ZINAHT LTD.,Switzerland,2
165,WILLIAMSBURG INTERNATIONAL CORP.,Switzerland,1
166,CEDAR RAPIDS HOLDINGS LIMITED,Switzerland,1
167,MYRUNE S.A.,Switzerland,2
168,OVIS S.A.,Monaco,2
169,BURTEN & BRENSON CORP.,Gibraltar,5
170,BIBRA LAKES INVESTMENTS LTD.,Switzerland,1
171,ORIMOUNT PROPERTIES INC.,Switzerland,2
172,ALLGATE PROPERTIES S.A.,Switzerland,1
173,KANDAHAR INC.,Luxembourg,2
174,ATLANTIC REAL ESTATES S.A.,Switzerland,1
175,IDENOW INTERNATIONAL INC.,Switzerland,1
176,SEGAR TRADING LIMITED,Panama,1
177,ENFORD HOLDINGS LTD.,Switzerland,1
178,GLAZIERS FINANCE LTD.,Switzerland,2
179,HOSKINS INVESTMENTS S.A.,Switzerland,1
180,PILOT INVESTORS LTD.,Luxembourg,7
181,DEMPER MANAGEMENT CORP.,Switzerland,1
182,VALPARAISO LIMITED,Switzerland,6
183,DEVENEY INTERNATIONAL S.A.,Switzerland,1
184,CHELSEA CAPITAL MANAGEMENT INC.,Switzerland,2
185,DARCO TRADING LIMITED,Isle of Man,2
186,LAKERTON INVESTMENTS CORP.,Switzerland,1
187,TIROLA INTERNATIONAL CORP.,Switzerland,2
188,ORSTED LTD.,Luxembourg,2
189,MELANDRA MARKETING LTD.,Switzerland,1
190,THENDARA ASSET MANAGEMENT LIMITED,Switzerland,1
191,MONDIAL SUPPORT S.A.,Luxembourg,2
192,KEETDALE INTERNATIONAL LIMITED,Switzerland,1
193,FIRDAZ INVESTMENTS CORP.,Switzerland,1
194,TELOMA TRADING LIMITED,Switzerland,1
195,PICCADILLY VENTURES LIMITED,Guernsey,1
196,GOLDEN RING DEVELOPMENT LIMITED,Hong Kong,4
197,QUANTOCK LIMITED,Guernsey,1
198,MARVAR INVESTMENTS LIMITED,Switzerland,1
199,INTERNATIONAL PROJECT MANAGEMENT SERVICES LTD.,Switzerland,2
200,MIGSA INTERNATIONAL CORP.,Switzerland,1
201,CHILTON ENTERTAINMENT RESORTS CORP.,Gibraltar,1
202,BROZAN LIMITED,Monaco,1
203,PAKO ASSET INC.,Switzerland,1
204,GRANT PACIFIC CORPORATION,Russia,2
205,L W H Y S INVESTMENTS INC.,Switzerland,10
206,UCANO S.A.,Panama,2
207,WHISTLER REAL ESTATE LTD.,Switzerland,1
208,SAFRED MANAGEMENT LTD.,Switzerland,1
209,FULLBRIGHT TRADE INC.,Luxembourg,2
210,EDGEWORTH HOLDINGS LIMITED,Isle of Man,1
211,CHASEDA INVESTMENTS S.A.,Switzerland,1
212,BROVIS ENTERPRISES LTD.,Switzerland,1
213,NORTH COUNTY CORP.,Venezuela,4
214,LITRACO INVESTMENTS LTD.,Switzerland,1
215,CLAYDOWNS LIMITED,Switzerland,1
216,WINGERS INTERNATIONAL S.A.,Monaco,3
217,LEMMINGS INVESTMENTS CORPORATION,Switzerland,1
218,EVERS FINANCE LIMITED,Switzerland,1
219,ATHOL ENTERPRISES LIMITED,Switzerland,1
220,KASHMIR HOLDING LIMITED,Switzerland,1
221,LIND INVESTMENT LTD.,Jersey,1
222,BIGBURY SHIPPING LTD.,Switzerland,14
223,G.F.B.I. LIMITED,Lebanon,1
224,HAGY S.A.,Luxembourg,2
225,W.S. ADAMSON (INVESTMENTS) LIMITED,Switzerland,2
226,ASHTEC ENGINEERING LTD.,Switzerland,1
227,CAFUR LIMITED,Switzerland,2
228,EMKA LTD.,Switzerland,1
229,TORAJA INVESTMENTS LIMITED,Jersey,2
230,ARMORAN INC.,Switzerland,3
231,LAPACHO LIMITED,Switzerland,2
232,GHAVIS INC.,Luxembourg,2
233,BEAUTY SERVICES LIMITED,Russia,2
234,BARYK INVESTMENTS LTD.,Samoa,2
235,HOME STRONG INVESTMENT LTD.,Hong Kong,1
236,SMC INTERNATIONAL ASSETS MANAGEMENT LTD.,Switzerland,2
237,DIAFIN INVESTMENTS LIMITED,Switzerland,1
238,PENLEY FINANCE LIMITED,Jersey,2
239,DEEPSEA WORKER LIMITED,Switzerland,15
240,LEVINCO HOLDING LIMITED,Switzerland,2
241,BESSANY DEVELOPMENT S.A.,Switzerland,1
242,ARATAN S.A.,Switzerland,2
243,STRAIGHTLINE LIMITED,Switzerland,2
244,BRATTER HOLDINGS INC.,Switzerland,2
245,DESHOWTH ENGINEERING CORP.,Ireland,2
246,GREEN POINT FINANCE LTD.,Switzerland,2
247,NITAI INVESTMENTS INC.,Switzerland,1
248,WESTIN MANAGEMENT S.A.,Liechtenstein,2
249,LAUDER INTERNATIONAL CORP.,Switzerland,1
250,IDESCO MANAGEMENT INC.,Switzerland,1
251,LAMBON LIMITED,Guernsey,1
252,SOL INVESTMENTS GROUP INC.,Switzerland,1
253,ATACER INVESTMENT INC.,Switzerland,1
254,SAT TRADING LTD.,Switzerland,2
255,ALLENDALE INVESTMENTS LIMITED,Switzerland,5
256,SYNTHESIS FINANCE CORP.,Switzerland,1
257,SOUTH LAWN HOLDINGS LIMITED,Jersey,1
258,ORIGINAL CORPORATION,Uruguay,1
259,ABUNDANT FINANCE S.A.,Switzerland,2
260,NANTOS LIMITED,Panama,2
261,ASTERTON ASSET MANAGEMENT INC.,Switzerland,1
262,LORENE IMP. & EXP. LTD.,Switzerland,1
263,LOUNAC ENTERPRISES S.A.,Switzerland,1
264,HASMIN LIMITED,Switzerland,13
265,DARJINI INTERNATIONAL CORP.,Jersey,1
266,FALROSE MANAGEMENT S.A.,Switzerland,1
267,ACCESS KLAUS SCHMUESER INTERNATIONAL LTD.,Germany,1
268,MANORSIDE REAL ESTATE LIMITED,Guernsey,2
269,SILVER FOREST LTD.,Switzerland,1
270,GENIMEX S.A.,Switzerland,2
271,CLOISTER PROPERTIES LIMITED,United Kingdom,2
272,TIME WHEEL LIMITED,Hong Kong,1
273,MBS HOLDING LTD.,Switzerland,17
274,HUGE BRIGHT DEVELOPMENT LTD.,Hong Kong,1
275,HEADLINE ASSETS MANAGEMENT INC.,Switzerland,2
276,CHIN SHAN INTERNATIONAL LIMITED,Hong Kong,5
277,ACTON ASSET MANAGEMENT S.A.,Switzerland,2
278,URBINVESTMENTS S.A.,Switzerland,3
279,MARUNO MANAGEMENT LTD.,Switzerland,4
280,CADAR INTERNATIONAL INC.,Switzerland,2
281,DURANGO FINANCE LIMITED,Guernsey,1
282,EAST HIDES INTERNATIONAL LTD.,Guernsey,3
283,LATTINGER HOLDING INC.,Switzerland,1
284,RAPISARDI INVESTMENT LIMITED,Switzerland,2
285,NASCO SERVICES LIMITED,Switzerland,2
286,TREVIAN PROPERTIES LIMITED,Switzerland,1
287,LEUWEN MINING LTD.,Switzerland,1
288,SCHWIMER LIMITED,Guernsey,2
289,COTAM ENTERPRISES LTD.,Switzerland,2
290,ONTOP LIMITED,Singapore,1
291,HORO HOLDINGS S.A.,Switzerland,20
292,ONTAT LTD.,Hong Kong,1
293,MERSIER INT'L INC.,Luxembourg,3
294,LOCRIRO LIMITED,Switzerland,1
295,MES-PETITS LIMITED,Liechtenstein,1
296,DANZIG INTERNATIONAL CONSULTANCY GROUP LTD.,Switzerland,1
297,NESPA INTERNATIONAL CORP.,Switzerland,1
298,VANOL FINANCE LIMITED,Switzerland,2
299,YUNEX TRADING LTD.,United Arab Emirates,1
300,SOLINGEN FINANCE LTD.,Switzerland,2
301,TREVERIS MANAGEMENT LIMITED,Monaco,1
302,PORTLAND MANAGEMENT S.A.,Switzerland,1
303,WHITEHEAD PROPERTIES LIMITED,Liechtenstein,2
304,PLAZA GROUP LTD.,Switzerland,2
305,BELHART LTD.,Switzerland,1
306,LAFOREST INTERNATIONAL INC.,Switzerland,1
307,ENERVEK LIMITED,Greece,2
308,SPENCEHILL LIMITED,Switzerland,1
309,MONT D'OR LTD.,Switzerland,1
310,PRIMSEVEN INC.,Switzerland,1
311,HARLEY BROTHERS INC.,Spain,2
312,SUPER GOLD INVESTMENT LTD.,Hong Kong,1
313,LAMBERHURST INTERNATIONAL LIMITED,Jersey,1
314,PREISLER FINANCE INC.,Switzerland,2
315,GEBA PARTICIPATIONS S.A.,Switzerland,4
316,BRUNLON HOLDING CORP.,Switzerland,1
317,ALLANDER HOLDINGS CORP.,Switzerland,1
318,GROLIER INTERNATIONAL INC.,Switzerland,1
319,ROLLEM INTERNATIONAL S.A.,Switzerland,5
320,LYNTON MANAGEMENT LTD.,Switzerland,2
321,DENDROFOROS LIMITED,Sweden,2
322,BIRD'S TOWER LIMITED,China,4
323,EXCLUSIVE ART LTD.,Guernsey,1
324,CAPERAL LIMITED,Switzerland,1
325,LAVANT FINANCE S.A.,Switzerland,1
326,HARBOUR CHOICE LTD.,Hong Kong,2
327,ESTEEN LIMITED,Switzerland,1
328,HENLEY TRADING INTERNATIONAL INC.,Switzerland,20
329,G.T. GREEN LIMITED,Switzerland,1
330,CARMEL MANAGEMENT LTD.,Panama,1
331,TURICO INTERNATIONAL FINANCING HOLDING S.A.,Luxembourg,2
332,CARBONATES INTERNATIONAL (BVI) LIMITED,Jersey,2
333,HAWKRIDGE HOLDINGS LIMITED,United Kingdom,1
334,FIVENCO LIMITED,Switzerland,2
335,JERRARD ASSOCIATES LIMITED,Switzerland,1
336,BALENBROOK INVESTMENT LTD.,Switzerland,1
337,LERES CAPITAL INC.,Switzerland,2
338,TRIANON INCORPORATED,Switzerland,1
339,HABSBURG HOLDINGS LIMITED,Switzerland,1
340,SERENA ASSET CAPITAL S.A.,Brazil,2
341,INDIANA TRADING INC.,Switzerland,1
342,LADSON DIFFUSION INTERNATIONAL LTD.,Switzerland,2
343,GRANT INTERNATIONAL BUSINESS LTD.,Switzerland,2
344,CHELSEA GROUP LTD.,Switzerland,2
345,ORLY CONSULTANTS S.A.,Luxembourg,1
346,LETCOVE INDUSTRIES LTD.,Switzerland,1
347,JAMP HOLDING INC.,Switzerland,1
348,BATOS INC.,Luxembourg,4
349,VALLETTE HOLDING LTD.,Switzerland,2
350,HEARTH TRADING INC.,Panama,2
351,MEDRIS INTERNATIONAL CORPORATION,Switzerland,1
352,BURSTEIN & LINDSAY SECURITIES CORP.,Switzerland,1
353,BELTER PROPERTIES LTD.,Switzerland,2
354,STRATTON ENTERPRISES INC.,Ireland,1
355,BINGO LINE LIMITED,Hong Kong,1
356,CALROCK HOLDINGS LIMITED,Gibraltar,1
357,JUNWALL HOLDINGS LTD.,Hong Kong,1
358,COFIC INVESTMENTS LTD.,Switzerland,1
359,CHINEWOOD HOLDINGS LIMITED,Jersey,1
360,OPALA GROUP LIMITED,Luxembourg,1
361,LYNSCOTT MANAGEMENT LIMITED,Jersey,1
362,MORANDI HOLDING CORP.,Switzerland,2
363,SIFEX INVESTMENTS CORP.,Switzerland,1
364,SEALAND PROPERTIES LTD.,Switzerland,2
365,CALTRANE MANAGEMENT LTD.,Switzerland,1
366,ATAN TRADING LTD.,Switzerland,2
367,WORLDSTAR HOLDINGS LIMITED,Switzerland,2
368,CAPOMONDO INTERNATIONAL LTD.,Switzerland,100
369,BENEN HOLDING S.A.,Switzerland,2
370,GARED TRADING CORP.,Switzerland,1
371,SOUTHSTAR GEM INTERNATIONAL LTD.,Switzerland,1
372,SHAGOUR LIMITED,Switzerland,1
373,TOYAMA TRADING CORPORATION,Switzerland,1
374,SKELTON DIRECTORS INC.,Switzerland,1
375,LEXINCO ADVISORS CORPORATION,Switzerland,2
376,CONNAUGHT VENTURES LIMITED,Guernsey,1
377,INTERINVESTMENTS GROUP LTD.,Brazil,20
378,ELSTON & PEER GROUP LTD.,Switzerland,2
379,NELSTOCK INTERNATIONAL CORP.,Switzerland,1
380,TRI-ARC SERVICES LIMITED,Switzerland,2
381,WANNABE CORPORATION,Switzerland,1
382,MEREN INVESTMENTS S.A.,Switzerland,1
383,MID PROPERTIES INC.,Switzerland,1
384,SHANAGORE LIMITED,Canada,4
385,NATOS INC.,Luxembourg,4
386,KANE CAPITAL MANAGEMENT INC.,Switzerland,2
387,BAKER INTERNATIONAL LTD.,Switzerland,1
388,EAST HERO INTERNATIONAL LTD.,Hong Kong,1
389,FLEIGHTON INVESTMENTS LTD.,Switzerland,2
390,TRINBAGO HOLDINGS LIMITED,Liechtenstein,2
391,MAYLIS INTERNATIONAL INC.,Switzerland,1
392,BRUSTEN OVERSEAS S. A.,Switzerland,1
393,BROADWAY EUROINVEST LTD.,Switzerland,2
394,VALINVEST HOLDING LTD.,Switzerland,1
395,CARPENTER ENTERPRISES INC.,Hong Kong,2
396,LAMOINE INVESTMENTS LIMITED,Guernsey,1
397,RIVIERA FINANCE LTD.,Switzerland,2
398,SUNDIAL EQUITIES LIMITED,Jersey,8
399,BLUE RAVEN HOLDINGS INC.,Switzerland,2
400,THELWAY INVESTMENTS INC.,Switzerland,2
401,PEXEL PLASTICS & CHEMICALS LTD.,Switzerland,2
402,GIVI LIMITED,Switzerland,1
403,APPLEHOUSE CORP.,Singapore,1
404,BLOSSOM HOLDINGS LIMITED,United Kingdom,4
405,BLACK ROCK TECHNOLOGIES INC.,Switzerland,3
406,EUROFINA INVESTMENTS LTD.,Brazil,5
407,WILLOWMEAD LIMITED,Jersey,1
408,AUCHEM LTD.,Jersey,2
409,BROWILL MANAGEMENT S.A.,Switzerland,1
410,VENTURE WING INVESTMENTS INC.,Seychelles,1
411,ENTERTAINMENTS COMPANY LIMITED,United Kingdom,1
412,TARGON RESORT S.A.,Luxembourg,2
413,LA TOUR EIFFEL INTERNATIONAL S.A.,Hong Kong,1
414,WHITLOW SERVICES LIMITED,Brazil,1
415,NATIONAL SPIRIT INVESTMENT LTD.,Hong Kong,2
416,PERTEC HOLDING CORP.,Switzerland,1
417,REVILUX INTERNATIONAL CORPORATION,Panama,2
418,PLATO DEVELOPMENT INC.,Hong Kong,1
419,YENCO LIMITED,Hong Kong,1
420,PERVIL INVESTMENTS LIMITED,Switzerland,1
421,FREESTAR INVESTMENTS LIMITED,Switzerland,1
422,ROSTEN HOLDING INC.,Switzerland,2
423,EMERCA TRADING LIMITED,Switzerland,2
424,INVESTMENT MANAGEMENT AND FINANCE INC.,Guernsey,1
425,JSY HOLDINGS COMPANY LTD.,Hong Kong,3
426,HYDRO INVESTMENTS INC.,Brazil,10
427,CLOVER HILL INVESTMENTS CORP.,Switzerland,1
428,ACTON CONSULTANTS INC.,Switzerland,2
429,HAMPSHIRE GROUP INC.,Switzerland,1
430,"MARIANN S. DAE, LTD.",Switzerland,2
431,GOFOBIM TRADE LIMITED,Switzerland,2
432,INWOOD TECHNOLOGY CORP.,Switzerland,2
433,GLOBAL PLAYER CORPORATION,Brazil,2
434,ALENCON INDUSTRIES LIMITED,Switzerland,2
435,TWO-STEP MARKETING LTD.,Switzerland,1
436,FUENTEVERDE TRADING INC.,Switzerland,1
437,KARAKUM CONSTRUCTION LTD.,Switzerland,1
438,MAYA COMPANY LIMITED,Hong Kong,1
439,AUSTERLITZ LTD.,Monaco,4
440,BYVALLEY PROPERTIES S.A.,Switzerland,3
441,ART & FASHION DEVELOPMENT LTD.,Switzerland,4
442,GOODWELL MANAGEMENT S.A.,Brazil,4
443,HAGARDY S.A.,Panama,2
444,AMIREL ASSETS S.A.,Panama,2
445,CBA INTERNATIONAL CORP.,Samoa,2
446,SELECTED FINANCIAL INVESTMENTS LIMITED,Switzerland,4
447,HANNIGAN INTERNATIONAL INC.,Bahamas,4
448,ASHLEY INTERNATIONAL LIMITED,Switzerland,8
449,REMINGTON FINANCE INC.,Switzerland,2
450,AYAN INVESTMENTS LIMITED,Switzerland,1
451,PRIMAVERA TRADING S.A.,Switzerland,2
452,ORIS LIMITED,Liechtenstein,2
453,INNOVATE GLOBAL LIMITED,Switzerland,2
454,WISECO LIMITED,Hong Kong,1
455,JAM HOLDING ASSET MANAGEMENT LIMITED,Liechtenstein,1
456,HOLLS INTERNATIONAL CORPORATION,Switzerland,1
457,SUNSHINE RAINBOW LIMITED,Hong Kong,2
458,COSMETIC COMPANY LTD.,Hong Kong,1
459,MADAME X LIMITED,Jersey,2
460,QUEENSWAY ASSETS MANAGEMENT INC.,Switzerland,1
461,DIPRA FINANCE CORPORATION,Switzerland,1
462,BENEFICIAL MANAGEMENT LTD.,Israel,2
463,CARIBBEAN SUGAR TRADER LTD.,Switzerland,1
464,TIMEPORT CORP.,Venezuela,12
465,INSCRED COMPANY CORP.,Switzerland,2
466,GREEN TOWER INVESTMENTS CORP.,Switzerland,1
467,JUMBO JAZ INVESTMENT LTD.,Hong Kong,1
468,M. YENA LTD.,Switzerland,1
469,MONTARIS LTD.,Panama,2
470,LEESIDE HOLDINGS LIMITED,Ireland,2
471,FASTRAK HOLDING INC.,Uruguay,2
472,MARKLIN DEVELOPMENT LIMITED,Hong Kong,1
473,GRISS LIMITED,Panama,5
474,WILSON GROUP HOLDINGS) LIMITED,Hong Kong,1
475,GRAND HOLDINGS GROUP LTD.,Hong Kong,1
476,WILFORD HOLDINGS CORPORATION,Hong Kong,1
477,GREAT WONDERS HOLDINGS LIMITED,Singapore,2
478,BINHAM CORP.,Luxembourg,6
479,PARADIS INVESTMENT GROUP S.A.,Switzerland,1
480,NORTHERN NOMINEE & ADMINISTRATORS LIMITED,Hong Kong,2
481,STIRLING PROCUREMENT LIMITED,Guernsey,1
482,FOXTON INVESTMENTS LTD.,Switzerland,2
483,AMSCOT CORPORATION,Hong Kong,2
484,CAMBERWELL LTD.,Monaco,4
485,VANUATU AUTOMOBILE CLUB LTD.,Switzerland,1
486,INTERFORM LIMITED,Hong Kong,1
487,NEWCASTLE HOLDING LIMITED,Switzerland,5
488,STAR INVESTMENTS INTERNATIONAL S.A.,United Kingdom,1
489,LANCAS CORP.,Panama,1
490,ROCKTON INVESTMENTS LTD.,Switzerland,2
491,JANSEN INVESTMENTS LTD.,Switzerland,2
492,WEDDELL HOLDINGS INC.,Bahamas,1
493,ITC INTERNATIONAL TRADING CORPORATION S.A.,Switzerland,7
494,EVER GRACE INVESTMENT LIMITED,Hong Kong,1
495,INFISA GROUP LTD.,Monaco,2
496,PECKINGTON GROUP INC.,Switzerland,1
497,SMITHWOOD PROPERTIES LTD.,United Kingdom,2
498,DEAVILL INC.,Switzerland,4
499,HUDSON STATS & PROJECTS CORP.,Switzerland,2
500,NOVELAN HOLDING LTD.,Monaco,2
501,SONAL INTERNATIONAL LTD.,Monaco,2
502,STROW TRADING LTD.,Colombia,2
503,LIBRA ESTATES LIMITED,Bahamas,8
504,STARSHINE SERVICES LIMITED,Guatemala,4
505,CASTELLUM COMPAGNIE FIDUCIAIRE S.A.,Morocco,1
506,ANDENIS PROPERTIES LTD.,Switzerland,2
507,DARWENG HOLDING INC.,Switzerland,1
508,DEECROWN INTERNATIONAL S.A.,Switzerland,1
509,LEENOR HOLDINGS S.A.,Spain,1
510,ELLEN HOLDINGS LIMITED,Isle of Man,1
511,ACQUARIUS INVESTMENTS LTD.,Switzerland,1
512,HOFLAND INDUSTRIES LIMITED,Liechtenstein,4
513,WHELAN PROPERTIES LIMITED,Switzerland,2
514,ALBANY EQUITIES CORPORATION,Panama,2
